Movie Name,IMDb Rating,Year,Certificates,Genre,Director,Star Cast
Stardust,7.6,2007,PG-13,Adventure,Matthew Vaughn,Charlie CoxClaire DanesSienna Miller
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,2005,PG,Adventure,Andrew Adamson,Ann PeacockAndrew AdamsonChristopher Markus
Miss Peregrine's Home for Peculiar Children,6.7,2016,PG-13,Adventure,Tim Burton,Eva GreenAsa ButterfieldSamuel L. Jackson
Harry Potter and the Deathly Hallows: Part 2,8.1,2011,PG-13,Adventure,David Yates,Daniel RadcliffeEmma WatsonRupert Grint
Harry Potter and the Prisoner of Azkaban,7.9,2004,PG,Adventure,Alfonso Cuarón,Daniel RadcliffeEmma WatsonRupert Grint
The Wizard of Oz,8.1,1939,G,Adventure,Victor Fleming,Noel LangleyFlorence RyersonEdgar Allan Woolf
Garfield: The Movie,5,2004,PG,Adventure,Peter Hewitt,Breckin MeyerJennifer Love HewittStephen Tobolowsky
The Little Mermaid,7.2,2023,PG,Adventure,Rob Marshall,David MageeHans Christian AndersenJohn Musker
Harry Potter and the Goblet of Fire,7.7,2005,PG-13,Adventure,Mike Newell,Daniel RadcliffeEmma WatsonRupert Grint
The Goonies,7.7,1985,PG,Adventure,Richard Donner,Sean AstinJosh BrolinJeff Cohen
The Princess Bride,8,1987,PG,Adventure,Rob Reiner,William Goldman
Jumanji,7.1,1995,PG,Adventure,Joe Johnston,Jonathan HensleighGreg TaylorJim Strain
Sonic the Hedgehog 3,7.1,2024,R,Action,Jeff Fowler,Ben SchwartzColleen O'ShaughnesseyIdris Elba
Unsung Hero,7.8,2024,PG,Drama,Richard L. Ramsey,Richard L. RamseyRichard RamseyJoel Smallbone
Land of Bad,6.5,2024,R,Action,William Eubank,Liam HemsworthRussell CroweLuke Hemsworth
You Can't Run Forever,4.4,2024,R,Drama,Michelle Schumacher,J.K. SimmonsFernanda UrrejolaAllen Leech
Saltburn,7,2023,R,Drama,Emerald Fennell,Barry KeoghanJacob ElordiRosamund Pike
The Surfer,7.4,2024,R,Thriller,Lorcan Finnegan,Nicolas CageJulian McMahonNicholas Cassim
Where the Crawdads Sing,7.2,2022,PG-13,Drama,Olivia Newman,Daisy Edgar-JonesTaylor John SmithHarris Dickinson
Argylle,5.7,2024,PG-13,Action,Matthew Vaughn,Henry CavillBryce Dallas HowardSam Rockwell
Bullet Train,7.3,2022,R,Action,David Leitch,Brad PittJoey KingAaron Taylor-Johnson
Monkey Man,6.9,2024,R,Action,Dev Patel,Dev PatelPaul AngunawelaJohn Collee
The Beekeeper,6.4,2024,R,Action,David Ayer,Jason StathamEmmy Raver-LampmanBobby Naderi
Road House,6.2,2024,R,Action,Doug Liman,Anthony BagarozziChuck MondryR. Lance Hill
Mothers' Instinct,6.3,2024,R,Drama,Benoît Delhomme,Anne HathawayJessica ChastainJosh Charles
Trigger Warning,7.1,2024,R,Action,Mouly Surya,Jessica AlbaMark WebberAnthony Michael Hall
"Red, White & Royal Blue",7,2023,R,Comedy,Matthew López,Taylor Zakhar PerezNicholas GalitzineUma Thurman
Sasquatch Sunset,5.6,2024,R,Action,David Zellner,Jesse EisenbergRiley KeoughChristophe Zajac-Denek
10 Things I Hate About You,7.3,1999,PG-13,Comedy,Gil Junger,Heath LedgerJulia StilesJoseph Gordon-Levitt
Babes,6.5,2024,R,Comedy,Pamela Adlon,Elena OuspenskaiaSandra BernhardOliver Platt
No Hard Feelings,6.4,2023,R,Comedy,Gene Stupnitsky,Jennifer LawrenceAndrew Barth FeldmanLaura Benanti
Seize Them!,5,2024,R,Comedy,Curtis Vowell,Aimee Lou WoodJessica HynesMatthew Cottle
Deadpool,8,2016,R,Action,Tim Miller,Ryan ReynoldsMorena BaccarinT.J. Miller
Madgaon Express,7.2,2024,R,Comedy,Kunal Kemmu,Divyendu SharmaPratik GandhiAvinash Tiwary
Crew,6.1,2024,R,Comedy,Rajesh A Krishnan,TabuKareena KapoorKriti Sanon
Miller's Girl,5.2,2024,R,Comedy,Jade Halley Bartlett,Martin FreemanJenna OrtegaBashir Salahuddin
Anora,7.9,2024,R,Comedy,Sean Baker,Mikey MadisonMark EydelshteynYura Borisov
The Holdovers,7.9,2023,R,Comedy,Alexander Payne,Paul GiamattiDa'Vine Joy RandolphDominic Sessa
American Fiction,7.5,2023,R,Comedy,Cord Jefferson,Jeffrey WrightTracee Ellis RossJohn Ortiz
Once Upon a Time... in Hollywood,7.6,2019,R,Comedy,Quentin Tarantino,Leonardo DiCaprioBrad PittMargot Robbie
Beetlejuice,7.5,1988,PG,Comedy,Tim Burton,Michael McDowellLarry WilsonWarren Skaaren
Laapataa Ladies,8.5,2023,R,Comedy,Kiran Rao,Nitanshi GoelPratibha RantaSparsh Shrivastava
Unfrosted,5.5,2024,PG-13,Biography,Jerry Seinfeld,Jerry SeinfeldSpike FerestenAndy Robin
Anyone But You,6.1,2023,R,Comedy,Will Gluck,Ilana WolpertWill Gluck
Kinds of Kindness,7,2024,R,Comedy,Yorgos Lanthimos,Efthimis FilippouYorgos Lanthimos
Mother of the Bride,4.8,2024,TV-PG,Comedy,Mark Waters,Brooke ShieldsMiranda CosgroveBenjamin Bratt
The Idea of You,6.4,2024,R,Comedy,Michael Showalter,Anne HathawayNicholas GalitzineElla Rubin
The Fall Guy,7.1,2024,PG-13,Action,David Leitch,Ryan GoslingEmily BluntAaron Taylor-Johnson
